Date,Asset1,Asset2,Spread,ZScore
2017-05-25,53.63029098510742,52.34438705444336,-1.6733987928928826,1.2042618063300694
2017-05-26,53.6204833984375,52.29515075683594,-1.6311864958288353,1.238759323413229
2017-05-30,53.53224563598633,52.25576400756836,-1.6778107695100957,1.156256307561089
2017-05-31,53.57146072387695,52.37391662597656,-1.7634280872049928,1.0196300630802355
2017-06-01,54.06167221069336,52.85640335083008,-1.7829808302294836,0.9733433774583454
2017-06-02,54.21855545043945,53.30934524536133,-2.1046466657942204,0.5187824279804969
2017-06-05,54.08129501342773,53.05333709716797,-1.9714254713446735,0.686819764057483
2017-06-06,53.9636344909668,52.91548156738281,-1.9434367679298603,0.7096493251194659
2017-06-07,54.11070251464844,53.00410079956055,-1.8899980863899941,0.7678471790463784
2017-06-08,54.385231018066406,53.31919097900391,-1.9483734627692257,0.6707862413136086
2017-06-09,53.94403839111328,53.181339263916016,-2.2439208942086992,0.24490129722522702
2017-06-12,53.77735137939453,52.89578628540039,-2.108911119936117,0.4223164418451701
2017-06-13,54.15973281860352,53.40781021118164,-2.2675010043738766,0.18624283375260953
2017-06-14,54.01266479492188,53.27981185913086,-2.279334257868044,0.16261609030488774
2017-06-15,53.77735137939453,53.16164779663086,-2.3898031767235466,0.0037054407847750687
2017-06-16,53.69892120361328,53.11330032348633,-2.4171525431421017,-0.04473174963453355
2017-06-19,54.39503479003906,53.754642486572266,-2.39863955584007,-0.03210677205330176
2017-06-20,54.01266479492188,53.350093841552734,-2.3535896493544257,0.019754090808832354
2017-06-21,54.14011764526367,53.22183990478516,-2.0906319945639,0.391756380021917
2017-06-22,54.207855224609375,53.02449798583984,-1.8143957226230185,0.7819118856654026
2017-06-23,54.256935119628906,53.2317008972168,-1.9842330062490419,0.5207992076800776
2017-06-26,54.22748947143555,53.27116775512695,-2.0553767808165944,0.40372695010098175
2017-06-27,53.58940505981445,52.501556396484375,-1.880339667416763,0.6491029429192443
2017-06-28,54.256935119628906,53.13302993774414,-1.8799836599514634,0.6342937168756096
2017-06-29,53.65811538696289,52.52128601074219,-1.8324743730933122,0.6890176618872684
2017-06-30,53.93297576904297,52.76795959472656,-1.818233326395088,0.6949266961720334
2017-07-03,53.825008392333984,52.89622497558594,-2.0617175986391345,0.3109968387472671
2017-07-05,53.991886138916016,53.18236541748047,-2.1971573138131433,0.08314405807979254
2017-07-06,53.579586029052734,52.758094787597656,-2.1612005499728255,0.1190107865797336
2017-07-07,54.09005355834961,53.350093841552734,-2.2762008859266984,-0.08805365272999659
2017-07-10,54.24711608886719,53.468509674072266,-2.244248855980125,-0.05511750109634889
2017-07-11,54.22748947143555,53.39942932128906,-2.19088964598955,0.01371281031197474
2017-07-12,54.76741027832031,54.33678817749024,-2.641321507483404,-0.8038968868980927
2017-07-13,54.73795318603516,54.405860900878906,-2.743756366466542,-1.0197976642391111
2017-07-14,54.944114685058594,54.77092742919922,-2.923300521223311,-1.3949437921276546
2017-07-17,54.85575866699219,54.93866729736328,-3.188879621923192,-1.9363218541035323
2017-07-18,55.01283264160156,54.88933563232422,-2.979685004527134,-1.5498438358234081
2017-07-19,55.30733489990234,55.42213821411133,-3.248107452277921,-2.049613231905317
2017-07-20,55.26805114746094,55.01759719848633,-2.859979363840715,-1.3562745855859917
2017-07-21,55.287696838378906,55.047210693359375,-2.8716213739707683,-1.3873659234498474
2017-07-24,55.385860443115234,55.1952018737793,-2.9298156672323756,-1.5451875194612799
2017-07-25,55.30733489990234,55.12613677978516,-2.9353715044715045,-1.5809915298543293
2017-07-26,55.356407165527344,55.461612701416016,-3.2407413737513266,-2.179195053548126
2017-07-27,54.93428802490234,55.214942932128906,-3.402245209356586,-2.453536769570273
2017-07-28,54.96374130249024,55.214942932128906,-3.372791931768681,-2.3578716171620466
2017-07-31,54.85575866699219,55.11627197265625,-3.3765252209691567,-2.3147729497342993
2017-08-01,54.90484237670898,55.066932678222656,-3.2753128077414644,-2.0644791664214335
2017-08-02,54.74777221679688,54.54399108886719,-2.879876747652375,-1.3031128455325354
2017-08-03,54.63978958129883,54.366397857666016,-2.8002258751907902,-1.139243366797827
2017-08-04,54.72813415527344,54.465065002441406,-2.81612661715166,-1.1517209754249211
2017-08-07,54.92447662353516,54.77092742919922,-2.9429385827467414,-1.3642071037553372
2017-08-08,54.7085075378418,54.62293243408203,-3.002545740080059,-1.4477727283667239
2017-08-09,54.610347747802734,54.37625503540039,-2.8400821643751613,-1.149620032833761
2017-08-10,53.52068328857422,53.47837448120117,-2.9811041726855834,-1.3911343683068593
2017-08-11,53.785736083984375,53.803977966308594,-3.060062935043547,-1.4972062684079457
2017-08-14,54.4729118347168,54.5735969543457,-3.18601677005627,-1.675600528894629
2017-08-15,54.44345474243164,54.297325134277344,-2.923582947359982,-1.191921372996697
2017-08-16,54.63978958129883,54.48479080200195,-2.92531219358915,-1.175199632666435
2017-08-17,53.67775344848633,53.45863723754883,-2.8031809192242676,-0.9422934601888684
2017-08-18,53.717018127441406,53.38957214355469,-2.6909465342954135,-0.7290751696756587
2017-08-21,53.66793823242188,53.162635803222656,-2.50026018748229,-0.37815726957132645
2017-08-22,54.51218032836914,53.97171401977539,-2.5108377429301427,-0.38399832019819025
2017-08-23,54.26675415039063,53.60664367675781,-2.3705542367663455,-0.12292327065975318
2017-08-24,54.24711608886719,53.586910247802734,-2.36934323510269,-0.10514766506439092
2017-08-25,54.19804000854492,53.61650848388672,-2.4496908950245455,-0.23469077632206106
2017-08-28,54.2863883972168,53.72504806518555,-2.4760183994248592,-0.26480568869676846
