Date,Open,Close,Volume,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2002-02-06,19.4677764824651,20.90696907043457,20857112,0.08732389085012104,0.1232538760249422,19.12281099955241,18.677807126726425,0,1.0,1,0.0,0.08371953141892935,0.08371953141892935,0.08732389085012104,0.0,0.0,0.0
2002-02-07,21.04624870925925,21.525978088378906,19469390,0.029607783694466816,0.07507513700861113,19.360097408294678,18.954886663527716,0,1.0,1,1.0,0.029177937192014614,0.11289746861094396,0.11951714141623748,0.028272795462885494,0.028272795462885494,0.028676264366914284
2002-02-08,21.649776501177797,20.922443389892578,7875595,-0.028037504080344444,0.04577594436666388,19.503242651621502,19.16527511959984,1,1.0,1,1.0,-0.028438059710895625,0.08445940890004834,0.08812867499576416,0.00641275588339307,0.03468555134627856,0.03529411077103761
2002-02-11,21.789057342518653,22.725305557250977,16251136,0.08616881564747558,0.08000001158197212,19.831445693969727,19.42577398390997,0,1.0,1,1.0,0.08265665662028533,0.16711606552033367,0.181891434192206,0.05660581738727935,0.09129136873355792,0.09558817889778437
2002-02-12,23.058021296007183,22.46222686767578,30389035,-0.01157646434774795,0.07606033244090105,20.133856773376465,19.631372815086728,1,1.0,1,1.0,-0.011643993281236727,0.15547207223909695,0.1682093101413713,-0.06230384058068703,0.028987528152870888,0.029411755729019218
2002-02-13,21.665255835308166,21.804533004760742,9261600,-0.0292799937775311,0.038571431719907956,20.444005330403645,19.81523286728632,1,1.0,1,1.0,-0.029717208377991026,0.12575486386110593,0.134004148809578,0.027476159927295053,0.05646368808016594,0.05808819288900602
2002-02-14,22.268787263872692,22.075345993041992,10565817,0.012420031569679635,0.03096408681173779,20.745126247406006,19.9497195652553,2,1.0,0,1.0,0.012343535713632135,0.13809839957473807,0.1480885161379406,0.004160937659647277,0.06062462573981322,0.06250000416858947
2002-02-15,22.361639341321123,21.51050567626953,12863952,-0.025586929280768445,0.04923964971165451,20.983702023824055,20.010883603777206,1,1.0,1,0.0,-0.02591996799575095,0.11217843157898713,0.11871245646745687,-0.0,0.06062462573981322,0.06250000416858947
2002-02-18,21.52597456624333,21.36348533630371,3775858,-0.006834815609565781,0.03690174633296861,21.151349703470867,20.09083875020345,2,1.0,0,1.0,-0.006858279939137211,0.10532015163984992,0.11106626310737733,0.005019971009899226,0.06564459674971244,0.06784713337532056
2002-02-19,21.634306017400903,21.16231346130371,8823074,-0.009416622420600151,0.04630653311182775,21.284823099772137,20.23932711283366,1,1.0,1,0.0,-0.009461239122836291,0.09585891251701363,0.10060377162342804,0.0,0.06564459674971244,0.06784713337532056
