Date,Open,High,Low,Close,Volume
2020-01-01,62.04969024658203,62.443812553500784,61.95116107934489,62.04969024658203,3191238
2020-01-02,62.17285232902204,62.6655094460879,62.07432316079697,62.56697463989258,3838770
2020-01-03,62.32064647986807,62.81329791754516,62.148214812000724,62.493072509765625,13278157
2020-01-06,62.32064457857258,62.32064457857258,61.335336095308676,61.53239440917969,18947248
2020-01-07,61.72946775487391,62.788673267026994,61.13828144735622,61.35997772216797,12677539
2020-01-08,60.62098276260922,61.03973727839487,59.857370591829095,60.0297966003418,13328638
2020-01-09,61.53240074137652,61.82799388057165,60.5224655029176,61.33534240722656,13828252
2020-01-10,61.58166556417066,61.95115554627974,61.11364078565471,61.8033561706543,12566014
2020-01-13,62.025059361947534,62.86256857840436,61.72946621555974,62.54234313964844,8621076
2020-01-14,62.86255786767858,63.158150963702276,62.39453875445653,62.5177001953125,6732202
2020-01-15,62.54233416002654,62.56696644885804,61.58166361965901,61.92652130126953,7152738
2020-01-16,62.09895445848619,62.32065072141292,61.08901358644026,61.16291046142578,10577692
2020-01-17,61.16291115601382,61.212181377867196,60.251505078235155,60.42393112182617,11573763
2020-01-20,58.108466616110704,58.970613818668355,56.01469343954655,57.886775970458984,67893711
2020-01-21,58.13308772542398,58.35478396639264,56.285637843917186,56.55659866333008,69767703
2020-01-22,57.46800743182698,57.591174521889656,55.15253830466326,55.990047454833984,107592835
2020-01-23,56.70439212251568,59.56178276212275,56.67975983341352,58.305519104003906,314893702
2020-01-24,59.85738417985503,59.93128105742127,58.675017224884066,58.94597244262695,39238492
2020-01-27,58.7489028482877,59.21692195452208,57.640432983225665,57.86212921142578,20398282
2020-01-28,58.2069856059686,58.92133328177979,57.320211902602146,58.083824157714844,31914822
2020-01-29,58.527206667295445,59.093760563169795,58.03455527286027,58.2808837890625,32001970
2020-01-30,59.069131025808844,59.0937633147791,57.246313452161935,57.714332580566406,42007012
2020-01-31,58.40404671206029,58.40404671206029,55.47275928285823,55.89151382446289,55113961
2020-02-03,54.21649822633176,55.37423275219221,52.98486119365364,53.2311897277832,37608319
2020-02-04,54.19186733595997,56.261007906976914,53.945538795470156,56.06394958496094,31528422
2020-02-05,56.581232532571704,57.07388396874084,56.11321338631254,56.5073356628418,23615974
2020-02-06,56.901461089354356,57.88676965420766,56.8521965068072,57.66507339477539,19620445
2020-02-07,57.49265362910745,58.00993744026549,56.6551387205111,57.886775970458984,16255411
