,date,Close
0,2023-08-01,"19,514.45"
1,2023-07-01,"19,753.80"
2,2023-06-01,"19,189.05"
3,2023-05-01,"18,534.40"
4,,"18,065.00"
5,2023-03-01,"17,359.75"
6,2023-02-01,"17,303.95"
7,2023-01-01,"17,662.15"
8,2022-12-01,"18,105.30"
9,2022-11-01,"18,758.35"
10,2022-10-01,"18,012.20"
11,2022-09-01,"17,094.35"
12,2022-08-01,"17,759.30"
13,2022-07-01,"17,158.25"
14,2022-06-01,"15,780.25"
15,2022-05-01,"16,584.55"
16,,"17,102.55"
17,2022-03-01,"17,464.75"
18,2022-02-01,"16,793.90"
19,2022-01-01,"17,339.85"
20,2021-12-01,"17,354.05"
21,2021-11-01,"16,983.20"
22,2021-10-01,"17,671.65"
23,2021-09-01,"17,618.15"
24,2021-08-01,"17,132.20"
25,2021-07-01,"15,763.05"
26,2021-06-01,"15,721.50"
27,2021-05-01,"15,582.80"
28,,"14,631.10"
29,2021-03-01,"14,690.70"
30,2021-02-01,"14,529.15"
31,2021-01-01,"13,634.60"
32,2020-12-01,"13,981.75"
33,2020-11-01,"12,968.95"
34,2020-10-01,"11,642.40"
35,2020-09-01,"11,247.55"
36,2020-08-01,"11,387.50"
37,2020-07-01,"11,073.45"
38,2020-06-01,"10,302.10"
39,2020-05-01,"9,580.30"
40,,"9,859.90"
41,2020-03-01,"8,597.75"
42,2020-02-01,"11,201.75"
43,2020-01-01,"11,962.10"
44,2019-12-01,"12,168.45"
45,2019-11-01,"12,056.05"
46,2019-10-01,"11,877.45"
47,2019-09-01,"11,474.45"
48,2019-08-01,"11,023.25"
49,2019-07-01,"11,118.00"
50,2019-06-01,"11,788.85"
51,2019-05-01,"11,922.80"
52,,"11,748.15"
53,2019-03-01,"11,623.90"
54,2019-02-01,"10,792.50"
55,2019-01-01,"10,830.95"
56,2018-12-01,"10,862.55"
57,2018-11-01,"10,876.75"
58,2018-10-01,"10,386.60"
59,2018-09-01,"10,930.45"
60,2018-08-01,"11,680.50"
61,2018-07-01,"11,356.50"
62,2018-06-01,"10,714.30"
63,2018-05-01,"10,736.15"
64,,"10,739.35"
65,2018-03-01,"10,113.70"
66,2018-02-01,"10,492.85"
67,2018-01-01,"11,027.70"
68,2017-12-01,"10,530.70"
69,2017-11-01,"10,226.55"
70,2017-10-01,"10,335.30"
71,2017-09-01,"9,788.60"
72,2017-08-01,"9,917.90"
73,2017-07-01,"10,077.10"
74,2017-06-01,"9,520.90"
75,2017-05-01,"9,621.25"
76,,"9,304.05"
77,2017-03-01,"9,173.75"
78,2017-02-01,"8,879.60"
79,2017-01-01,"8,561.30"
80,2016-12-01,"8,185.80"
81,2016-11-01,"8,224.50"
82,2016-10-01,"8,625.70"
83,2016-09-01,"8,611.15"
84,2016-08-01,"8,786.20"
85,2016-07-01,"8,638.50"
86,2016-06-01,"8,287.75"
87,2016-05-01,"8,160.10"
88,,"7,849.80"
89,2016-03-01,"7,738.40"
90,2016-02-01,"6,987.05"
91,2016-01-01,"7,563.55"
92,2015-12-01,"7,946.35"
93,2015-11-01,"7,935.25"
94,2015-10-01,"8,065.80"
95,2015-09-01,"7,948.90"
96,2015-08-01,"7,971.30"
97,2015-07-01,"8,532.85"
98,2015-06-01,"8,368.50"
99,2015-05-01,"8,433.65"
100,,"8,181.50"
101,2015-03-01,"8,491.00"
102,2015-02-01,"8,901.85"
103,2015-01-01,"8,808.90"
104,2014-12-01,"8,282.70"
105,2014-11-01,"8,588.25"
106,2014-10-01,"8,322.20"
107,2014-09-01,"7,964.80"
108,2014-08-01,"7,954.35"
109,2014-07-01,"7,721.30"
110,2014-06-01,"7,611.35"
111,2014-05-01,"7,229.95"
112,,"6,696.40"
113,2014-03-01,"6,704.20"
114,2014-02-01,"6,276.95"
115,2014-01-01,"6,089.50"
116,2013-12-01,"6,304.00"
117,2013-11-01,"6,176.10"
118,2013-10-01,"6,299.15"
119,2013-09-01,"5,735.30"
120,2013-08-01,"5,471.80"
121,2013-07-01,"5,742.00"
122,2013-06-01,"5,842.20"
123,2013-05-01,"5,985.95"
124,,"5,930.20"
125,2013-03-01,"5,682.55"
126,2013-02-01,"5,693.05"
127,2013-01-01,"6,034.75"
128,2012-12-01,"5,905.10"
129,2012-11-01,"5,879.85"
