Date,Open,High,Low,Close,Volume
2020-04-27,9569.099609375,9749.5,9557.7998046875,9627.599609375,2397400.0
2020-04-28,9766.4501953125,9978.400390625,9696.099609375,9951.2001953125,2447000.0
2020-04-29,9919.400390625,10392.849609375,9900.5,10292.900390625,3524500.0
2020-04-30,10504.099609375,10695.4501953125,10476.0,10570.7998046875,2922200.0
2020-05-04,10120.650390625,10128.2001953125,9627.099609375,9679.9501953125,2361300.0
2020-05-05,9856.0,9912.349609375,9460.0,9483.150390625,3020200.0
2020-05-06,9524.400390625,9806.9501953125,9385.849609375,9727.0,3256100.0
2020-05-07,9668.7001953125,9737.849609375,9557.7998046875,9575.75,2066200.0
2020-05-08,9751.849609375,9775.7998046875,9535.900390625,9559.349609375,2301600.0
2020-05-11,9684.0,9729.4501953125,9362.650390625,9386.0498046875,2674100.0
2020-05-12,9271.599609375,9417.25,9052.75,9365.849609375,3110800.0
2020-05-13,9867.849609375,9909.5,9604.900390625,9679.599609375,3952000.0
2020-05-14,9499.849609375,9581.650390625,9337.2001953125,9355.650390625,3032700.0
2020-05-15,9386.349609375,9391.2998046875,9195.2998046875,9291.599609375,1940100.0
2020-05-18,9275.400390625,9275.650390625,8654.0,8675.400390625,3565300.0
2020-05-19,8920.0498046875,8986.650390625,8650.150390625,8715.25,3102000.0
2020-05-20,8737.849609375,9033.849609375,8716.9501953125,8983.5,2584700.0
2020-05-21,9019.349609375,9142.9501953125,8900.650390625,8924.349609375,2436000.0
2020-05-22,8846.25,9001.099609375,8574.5,8651.7001953125,3733000.0
2020-05-26,8750.099609375,8869.7998046875,8634.099609375,8673.650390625,2316600.0
2020-05-27,8743.0,9235.0498046875,8687.099609375,9181.5,4039500.0
2020-05-28,9274.25,9521.7001953125,9246.349609375,9426.650390625,3569800.0
2020-05-29,9357.0498046875,9552.900390625,9250.150390625,9527.0498046875,4022900.0
2020-06-01,9739.849609375,10010.349609375,9704.7001953125,9873.5,3535900.0
2020-06-02,9934.849609375,10215.7998046875,9859.9501953125,10187.9501953125,3074000.0
2020-06-03,10378.400390625,10614.650390625,10337.5,10384.5,4140300.0
2020-06-04,10381.9501953125,10467.5,10077.7001953125,10110.849609375,3359900.0
2020-06-05,10171.25,10402.400390625,10094.2001953125,10334.849609375,4133700.0
2020-06-08,10580.9501953125,10636.650390625,10255.099609375,10360.2001953125,4491700.0
2020-06-09,10404.75,10528.4501953125,10126.400390625,10163.349609375,3905400.0
2020-06-10,10190.5498046875,10343.849609375,10138.4501953125,10280.4501953125,3050400.0
2020-06-11,10247.150390625,10304.150390625,10010.75,10035.7001953125,3329400.0
2020-06-12,9586.2001953125,10157.150390625,9585.5,10111.75,3673700.0
2020-06-15,10033.0498046875,10044.4501953125,9735.75,9817.900390625,2980200.0
2020-06-16,10071.400390625,10160.4501953125,9741.7998046875,10089.9501953125,3833400.0
2020-06-17,10039.5,10219.900390625,9965.75,10007.099609375,3232200.0
2020-06-18,9977.0,10402.0498046875,9949.0498046875,10372.0,2805900.0
2020-06-19,10378.5,10574.150390625,10332.349609375,10534.75,4740900.0
2020-06-22,10625.849609375,10804.650390625,10591.849609375,10662.5498046875,4045200.0
2020-06-23,10730.25,10917.0,10601.349609375,10881.400390625,2980000.0
2020-06-24,10949.2001953125,10971.2001953125,10525.849609375,10556.7001953125,3602700.0
2020-06-25,10456.900390625,10698.400390625,10356.7001953125,10585.599609375,4202600.0
2020-06-26,10686.900390625,10699.349609375,10497.849609375,10588.4501953125,2627100.0
2020-06-29,10463.4501953125,10576.900390625,10352.400390625,10533.2001953125,2475500.0
2020-06-30,10597.099609375,10666.349609375,10499.0,10561.900390625,2470300.0
2020-07-01,10558.349609375,10877.2998046875,10540.2998046875,10843.25,3237000.0
2020-07-02,10912.349609375,11012.7001953125,10845.150390625,10906.75,2985600.0
2020-07-03,10980.150390625,10992.349609375,10838.75,10870.900390625,2627800.0
2020-07-06,11062.0,11121.099609375,11005.900390625,11023.7001953125,2389700.0
2020-07-07,11070.650390625,11211.650390625,10981.599609375,11193.900390625,3162200.0
2020-07-08,11225.25,11305.0,11085.2998046875,11129.25,3783800.0
2020-07-09,11174.0498046875,11338.0498046875,11153.7998046875,11305.2998046875,2615700.0
2020-07-10,11210.9501953125,11276.599609375,11064.099609375,11091.2001953125,2765800.0
2020-07-13,11185.5498046875,11202.349609375,10874.4501953125,10919.900390625,2411800.0
2020-07-14,10818.150390625,10836.0,10556.5,10652.0,2335400.0
2020-07-15,10760.0,10867.349609375,10571.650390625,10616.099609375,2335300.0
2020-07-16,10648.75,10731.900390625,10454.7998046875,10708.2998046875,2095800.0
2020-07-17,10720.099609375,10963.2001953125,10713.75,10915.7001953125,2034400.0
2020-07-20,11110.7001953125,11173.0,11042.400390625,11093.2001953125,3394900.0
2020-07-21,11234.400390625,11340.2001953125,11224.75,11317.900390625,3298000.0
2020-07-22,11432.599609375,11454.099609375,11195.900390625,11290.400390625,3932000.0
2020-07-23,11286.0498046875,11414.599609375,11241.0498046875,11380.349609375,2375500.0
2020-07-24,11272.650390625,11272.650390625,11089.349609375,11184.900390625,2480100.0
2020-07-27,11169.0498046875,11169.2001953125,10889.7998046875,10909.150390625,2525500.0
2020-07-28,10945.7998046875,11101.650390625,10815.349609375,11057.0498046875,3167900.0
2020-07-29,11025.5,11128.599609375,10927.150390625,10989.9501953125,2578600.0
2020-07-30,11049.9501953125,11101.2998046875,10772.5498046875,10795.099609375,2483300.0
2020-07-31,10820.150390625,10820.7001953125,10630.849609375,10728.849609375,3362200.0
2020-08-03,10698.75,10698.75,10442.5498046875,10467.2001953125,2165100.0
2020-08-04,10541.650390625,10736.849609375,10476.2998046875,10706.0,2016500.0
2020-08-05,10772.2001953125,10894.4501953125,10659.7001953125,10685.349609375,2453600.0
2020-08-06,10769.099609375,10897.349609375,10666.7998046875,10797.349609375,2584800.0
2020-08-07,10776.2001953125,10840.5498046875,10699.0,10823.099609375,1880300.0
2020-08-10,10883.349609375,10995.5,10871.400390625,10913.7998046875,1567400.0
2020-08-11,10981.25,11071.849609375,10978.2998046875,11030.2001953125,1821900.0
2020-08-12,10994.75,11032.5,10907.4501953125,10996.099609375,2744200.0
2020-08-13,11050.0498046875,11070.0,10959.400390625,10978.2001953125,2100500.0
2020-08-14,11042.2001953125,11042.2001953125,10676.150390625,10758.4501953125,2190300.0
2020-08-17,10865.2001953125,10865.75,10675.349609375,10783.599609375,1672000.0
2020-08-18,10780.849609375,11021.5498046875,10759.5498046875,10995.599609375,1644100.0
2020-08-19,11069.650390625,11090.4501953125,11018.099609375,11042.349609375,2027100.0
2020-08-20,10909.7001953125,10948.0,10852.5498046875,10897.5,2078600.0
2020-08-21,10987.599609375,11059.2998046875,10973.2001953125,11025.75,1943300.0
2020-08-24,11080.0,11301.75,11069.25,11256.599609375,1809600.0
2020-08-25,11317.599609375,11382.150390625,11242.75,11358.9501953125,2813800.0
2020-08-26,11401.25,11434.400390625,11336.5,11416.7001953125,2196100.0
2020-08-27,11475.900390625,11545.400390625,11451.9501953125,11483.400390625,2094700.0
2020-08-28,11509.4501953125,11740.150390625,11490.400390625,11720.349609375,3560000.0
2020-08-31,11877.5498046875,11986.5498046875,11234.7001953125,11389.0,3702700.0
2020-09-01,11480.099609375,11629.7998046875,11340.099609375,11493.599609375,2303200.0
2020-09-02,11468.599609375,11522.7001953125,11363.400390625,11490.5498046875,1588500.0
2020-09-03,11526.7001953125,11555.5498046875,11346.0498046875,11371.349609375,1267100.0
2020-09-04,11183.2998046875,11282.2001953125,11087.9501953125,11157.75,1909100.0
2020-09-07,11171.400390625,11194.25,11059.150390625,11143.5,1450700.0
2020-09-08,11153.349609375,11205.2001953125,11046.25,11086.2001953125,1413600.0
2020-09-09,10982.650390625,11029.650390625,10827.150390625,10887.599609375,1928700.0
2020-09-10,10978.7998046875,11062.25,10871.4501953125,10968.0498046875,1819100.0
2020-09-11,10988.0498046875,11054.2998046875,10873.0498046875,10966.9501953125,1447900.0
2020-09-14,11056.400390625,11086.0,10754.4501953125,10782.650390625,1790900.0
2020-09-15,10850.2998046875,10950.349609375,10798.650390625,10925.9501953125,1491800.0
2020-09-16,10936.5,11041.5,10873.5498046875,11016.099609375,1552400.0
2020-09-17,10917.150390625,10980.7998046875,10851.099609375,10881.150390625,1297100.0
2020-09-18,10938.75,10944.099609375,10670.349609375,10746.849609375,2215300.0
2020-09-21,10728.0,10775.099609375,10488.9501953125,10527.2001953125,1669000.0
2020-09-22,10562.099609375,10565.0498046875,10355.5,10414.849609375,1770900.0
2020-09-23,10511.9501953125,10515.9501953125,10294.2001953125,10426.5,1477300.0
2020-09-24,10301.4501953125,10329.400390625,10113.5498046875,10134.7998046875,1837700.0
2020-09-25,10257.650390625,10376.4501953125,10114.5,10332.25,1572300.0
2020-09-28,10416.75,10613.5498046875,10363.5,10591.349609375,1328500.0
2020-09-29,10647.4501953125,10680.4501953125,10482.349609375,10561.900390625,1244100.0
2020-09-30,10562.099609375,10667.4501953125,10480.650390625,10622.400390625,1287300.0
2020-10-01,10726.7998046875,10968.4501953125,10717.75,10949.599609375,1493500.0
2020-10-05,10981.9501953125,11137.4501953125,10943.400390625,10963.25,1481100.0
2020-10-06,11098.2998046875,11329.75,11092.400390625,11308.900390625,1367400.0
2020-10-07,11304.900390625,11380.099609375,11190.7998046875,11340.900390625,1373400.0
