Date,Udemy,Easter,Christmas
9/1/2016,474,0,0
9/2/2016,322,0,0
9/3/2016,397,0,0
9/4/2016,321,0,0
9/5/2016,367,0,0
9/6/2016,394,0,0
9/7/2016,356,0,0
9/8/2016,389,0,0
9/9/2016,338,0,0
9/10/2016,275,0,0
9/11/2016,255,0,0
9/12/2016,368,0,0
9/13/2016,418,0,0
9/14/2016,388,0,0
9/15/2016,378,0,0
9/16/2016,387,0,0
9/17/2016,294,0,0
9/18/2016,283,0,0
9/19/2016,414,0,0
9/20/2016,433,0,0
9/21/2016,335,0,0
9/22/2016,352,0,0
9/23/2016,399,0,0
9/24/2016,279,0,0
9/25/2016,330,0,0
9/26/2016,372,0,0
9/27/2016,402,0,0
9/28/2016,353,0,0
9/29/2016,387,0,0
9/30/2016,347,0,0
10/1/2016,256,0,0
10/2/2016,278,0,0
10/3/2016,383,0,0
10/4/2016,353,0,0
10/5/2016,387,0,0
10/6/2016,319,0,0
10/7/2016,318,0,0
10/8/2016,244,0,0
10/9/2016,305,0,0
10/10/2016,360,0,0
10/11/2016,379,0,0
10/12/2016,371,0,0
10/13/2016,383,0,0
10/14/2016,332,0,0
10/15/2016,267,0,0
10/16/2016,293,0,0
10/17/2016,435,0,0
10/18/2016,433,0,0
10/19/2016,386,0,0
10/20/2016,379,0,0
10/21/2016,424,0,0
10/22/2016,291,0,0
10/23/2016,334,0,0
10/24/2016,448,0,0
10/25/2016,385,0,0
10/26/2016,394,0,0
10/27/2016,383,0,0
10/28/2016,336,0,0
10/29/2016,287,0,0
10/30/2016,315,0,0
10/31/2016,408,0,0
11/1/2016,413,0,0
11/2/2016,426,0,0
11/3/2016,382,0,0
11/4/2016,400,0,0
11/5/2016,261,0,0
11/6/2016,314,0,0
11/7/2016,399,0,0
11/8/2016,467,0,0
11/9/2016,361,0,0
11/10/2016,348,0,0
11/11/2016,301,0,0
11/12/2016,252,0,0
11/13/2016,293,0,0
11/14/2016,443,0,0
11/15/2016,722,0,0
11/16/2016,925,0,0
11/17/2016,683,0,0
11/18/2016,584,0,0
11/19/2016,405,0,0
11/20/2016,527,0,0
11/21/2016,722,0,0
11/22/2016,649,0,0
11/23/2016,547,0,0
11/24/2016,524,0,0
11/25/2016,558,0,0
11/26/2016,359,0,0
11/27/2016,329,0,0
11/28/2016,519,0,0
11/29/2016,484,0,0
11/30/2016,442,0,0
12/1/2016,343,0,0
12/2/2016,364,0,0
12/3/2016,238,0,0
12/4/2016,303,0,0
12/5/2016,468,0,0
12/6/2016,413,0,0
12/7/2016,394,0,0
12/8/2016,395,0,0
12/9/2016,311,0,0
12/10/2016,255,0,0
12/11/2016,275,0,0
12/12/2016,376,0,0
12/13/2016,443,0,0
12/14/2016,395,0,0
12/15/2016,402,0,0
12/16/2016,362,0,0
12/17/2016,309,0,0
12/18/2016,328,0,0
12/19/2016,422,0,0
12/20/2016,440,0,0
12/21/2016,391,0,0
12/22/2016,371,0,0
12/23/2016,310,0,0
12/24/2016,260,0,0
12/25/2016,258,0,1
12/26/2016,323,0,0
12/27/2016,444,0,0
12/28/2016,446,0,0
12/29/2016,430,0,0
12/30/2016,380,0,0
12/31/2016,241,0,0
1/1/2017,414,0,0
1/2/2017,725,0,0
1/3/2017,848,0,0
1/4/2017,854,0,0
1/5/2017,754,0,0
1/6/2017,768,0,0
1/7/2017,640,0,0
1/8/2017,631,0,0
1/9/2017,929,0,0
1/10/2017,1015,0,0
1/11/2017,689,0,0
1/12/2017,527,0,0
1/13/2017,400,0,0
1/14/2017,344,0,0
1/15/2017,382,0,0
1/16/2017,464,0,0
1/17/2017,495,0,0
1/18/2017,475,0,0
1/19/2017,468,0,0
1/20/2017,398,0,0
1/21/2017,315,0,0
1/22/2017,360,0,0
1/23/2017,489,0,0
1/24/2017,444,0,0
1/25/2017,438,0,0
1/26/2017,486,0,0
1/27/2017,439,0,0
1/28/2017,349,0,0
1/29/2017,335,0,0
1/30/2017,455,0,0
1/31/2017,578,0,0
2/1/2017,538,0,0
2/2/2017,446,0,0
2/3/2017,427,0,0
2/4/2017,312,0,0
2/5/2017,358,0,0
2/6/2017,494,0,0
2/7/2017,549,0,0
2/8/2017,560,0,0
2/9/2017,619,0,0
2/10/2017,508,0,0
2/11/2017,374,0,0
2/12/2017,451,0,0
2/13/2017,513,0,0
2/14/2017,484,0,0
2/15/2017,530,0,0
2/16/2017,555,0,0
2/17/2017,489,0,0
2/18/2017,393,0,0
2/19/2017,448,0,0
2/20/2017,543,0,0
2/21/2017,634,0,0
2/22/2017,491,0,0
2/23/2017,534,0,0
2/24/2017,483,0,0
2/25/2017,405,0,0
2/26/2017,421,0,0
2/27/2017,597,0,0
2/28/2017,595,0,0
3/1/2017,651,0,0
3/2/2017,477,0,0
3/3/2017,514,0,0
3/4/2017,391,0,0
3/5/2017,396,0,0
3/6/2017,572,0,0
3/7/2017,508,0,0
3/8/2017,555,0,0
3/9/2017,509,0,0
3/10/2017,498,0,0
3/11/2017,372,0,0
3/12/2017,389,0,0
3/13/2017,546,0,0
3/14/2017,624,0,0
3/15/2017,562,0,0
3/16/2017,562,0,0
3/17/2017,467,0,0
3/18/2017,391,0,0
3/19/2017,372,0,0
3/20/2017,527,0,0
3/21/2017,593,0,0
3/22/2017,579,0,0
3/23/2017,575,0,0
3/24/2017,518,0,0
3/25/2017,418,0,0
3/26/2017,408,0,0
3/27/2017,601,0,0
3/28/2017,562,0,0
3/29/2017,566,0,0
3/30/2017,588,0,0
3/31/2017,576,0,0
4/1/2017,389,0,0
4/2/2017,487,0,0
4/3/2017,495,0,0
4/4/2017,530,0,0
4/5/2017,686,0,0
4/6/2017,532,0,0
4/7/2017,456,0,0
4/8/2017,361,0,0
4/9/2017,409,0,0
4/10/2017,517,0,0
4/11/2017,572,0,0
4/12/2017,576,0,0
4/13/2017,542,0,0
4/14/2017,471,0,0
4/15/2017,411,0,0
