Datetime,Open,High,Low,Close,Volume
2022-01-03 09:15:00+05:30,745.2999877929688,745.2999877929688,740.25,741.5,0
2022-01-03 10:15:00+05:30,741.5,746.5,741.2000122070312,745.8499755859375,150540
2022-01-03 11:15:00+05:30,745.8499755859375,749.0,744.5999755859375,747.2000122070312,175438
2022-01-03 12:15:00+05:30,747.0,748.9500122070312,747.0,748.75,118295
2022-01-03 13:15:00+05:30,748.5999755859375,749.2999877929688,747.8499755859375,748.4000244140625,86904
2022-01-03 14:15:00+05:30,748.2000122070312,749.4000244140625,746.0,748.2999877929688,148194
2022-01-03 15:15:00+05:30,748.0999755859375,749.0,747.7999877929688,749.0,80348
2022-01-04 09:15:00+05:30,750.4000244140625,756.2000122070312,734.4500122070312,736.7999877929688,0
2022-01-04 10:15:00+05:30,736.8499755859375,739.0,731.4000244140625,731.7999877929688,565126
2022-01-04 11:15:00+05:30,731.5999755859375,735.7000122070312,731.4000244140625,735.3499755859375,348421
2022-01-04 12:15:00+05:30,735.3499755859375,736.9500122070312,735.0,736.3499755859375,215246
2022-01-04 13:15:00+05:30,736.0,736.2000122070312,733.0,735.5499877929688,159412
2022-01-04 14:15:00+05:30,735.2000122070312,739.6500244140625,735.1500244140625,739.0999755859375,235794
2022-01-04 15:15:00+05:30,739.0999755859375,739.9500122070312,738.0,738.8499755859375,131477
2022-01-05 09:15:00+05:30,741.3499755859375,743.4500122070312,726.5,727.75,0
2022-01-05 10:15:00+05:30,727.75,731.9500122070312,726.5,731.0499877929688,484146
2022-01-05 11:15:00+05:30,731.0,733.5,728.5,729.7999877929688,311576
2022-01-05 12:15:00+05:30,729.7999877929688,732.0999755859375,728.5499877929688,731.8499755859375,250038
2022-01-05 13:15:00+05:30,731.9000244140625,733.5499877929688,730.5999755859375,733.25,209260
2022-01-05 14:15:00+05:30,733.25,734.0,731.0,733.75,244716
2022-01-05 15:15:00+05:30,733.5,734.4500122070312,732.7999877929688,733.5999755859375,109403
2022-01-06 09:15:00+05:30,732.9000244140625,732.9000244140625,722.7999877929688,729.75,0
2022-01-06 10:15:00+05:30,729.75,729.8499755859375,724.5,729.1500244140625,165168
2022-01-06 11:15:00+05:30,728.5499877929688,731.0,728.0999755859375,729.5499877929688,225332
2022-01-06 12:15:00+05:30,729.5499877929688,732.0,729.0,731.7999877929688,72997
2022-01-06 13:15:00+05:30,731.8499755859375,731.9500122070312,724.5,725.0,905871
2022-01-06 14:15:00+05:30,725.0,725.9500122070312,723.5999755859375,725.4500122070312,203481
2022-01-06 15:15:00+05:30,725.7000122070312,726.5,725.4500122070312,726.4000244140625,86204
2022-01-07 09:15:00+05:30,726.0499877929688,729.4500122070312,726.0499877929688,728.7000122070312,0
2022-01-07 10:15:00+05:30,729.0,734.5499877929688,728.9500122070312,731.75,195074
2022-01-07 11:15:00+05:30,731.7999877929688,740.0,731.25,738.5499877929688,280346
2022-01-07 12:15:00+05:30,738.9500122070312,742.5,734.2999877929688,741.5,242999
2022-01-07 13:15:00+05:30,741.9500122070312,744.5499877929688,739.0,739.75,246116
